year,pref,pop,male,child,adult,born,income
2016,Osaka,8833000,48.1,12.3,60.9,0.779,470536
2016,Hyogo,5520000,47.7,12.7,59.5,0.786,435202
2016,Nara,1356000,47.2,12.3,58.2,0.695,548806
2016,Wakayama,954000,47.1,12,56.4,0.698,476465
2016,Tottori,570000,47.7,12.8,56.8,0.778,479447
2016,Shimane,690000,48,12.4,54.5,0.768,552741
2016,Okayama,1915000,48,12.9,57.8,0.808,485471
2016,Hiroshima,2837000,48.5,13.1,58.7,0.801,583035
2016,Yamaguchi,1394000,47.4,12,55.2,0.706,631800
2016,Tokushima,750000,47.6,11.5,56.7,0.713,533918
2016,Kagawa,972000,48.5,12.5,56.9,0.773,567335
2016,Ehime,1375000,47.3,12.2,56.4,0.721,529065
2016,Kochi,721000,47,11.4,55,0.663,605002
2016,Fukuoka,5104000,47.3,13.3,60.2,0.863,542696
2016,Saga,828000,47.2,13.8,57.7,0.823,524339
2016,Nagasaki,1367000,47,12.8,56.7,0.796,475094
2016,Kumamoto,1774000,47.1,13.5,57.1,0.84,476994
2016,Oita,1160000,47.3,12.5,56.3,0.781,515879
2016,Miyazaki,1096000,47.1,13.5,56.2,0.815,472136
2016,Kagoshima,1637000,46.9,13.4,56.5,0.836,511472
2016,Okinawa,1439000,49.2,17.2,62.4,1.155,425997
2015,Hokkaido,5381733,47.1,11.4,59.6,0.682,525903
2015,Aomori,1308265,47,11.4,58.4,0.659,433343
2015,Iwate,1279594,48.1,11.9,57.8,0.689,500214
2015,Miyagi,2333899,48.9,12.5,61.7,0.771,395795
2015,Akita,1023119,47,10.5,55.7,0.573,454670
2015,Yamagata,1123891,48.1,12.1,57.1,0.697,555561
2015,Fukushima,1914039,49.4,12.1,59.2,0.742,631501
2015,Ibaraki,2916976,49.8,12.6,60.6,0.744,592704
2015,Tochigi,1974255,49.7,12.9,61.3,0.775,567172
2015,Gunma,1973115,49.3,12.8,59.6,0.723,489693
2015,Saitama,7266534,49.9,12.6,62.5,0.772,601484
2015,Chiba,6222666,49.8,12.4,61.7,0.756,557269
2015,Tokyo,13515271,49.3,11.5,65.9,0.838,560609
2015,Kanagawa,9126214,50,12.6,63.5,0.805,513871
2015,Niigata,2304264,48.4,12,58.1,0.709,512752
2015,Toyama,1066328,48.3,12.2,57.3,0.71,629591
2015,Ishikawa,1154008,48.4,13,59.1,0.786,596283
2015,Fukui,786740,48.5,13.3,58.1,0.792,547036
2015,Yamanashi,834930,48.9,12.4,59.2,0.717,552132
2015,Nagano,2098804,48.7,13,57,0.745,558569
2015,Gifu,2031903,48.4,13.2,58.7,0.761,541088
2015,Shizuoka,3700305,49.2,13,59.2,0.766,547885
2015,Aichi,7483128,50,13.8,62.4,0.877,550727
2015,Mie,1815865,48.7,13,59.1,0.768,490891
2015,Shiga,1412916,49.3,14.5,61.3,0.893,564335
2015,Kyoto,2610353,47.9,12.3,60.2,0.753,495254
2015,Osaka,8839469,48.2,12.5,61.3,0.799,490678
2015,Hyogo,5534800,47.7,12.9,60,0.795,415493
2015,Nara,1364316,47.2,12.5,58.8,0.721,557063
2015,Wakayama,963579,47,12.1,57,0.73,533160
2015,Tottori,573441,47.7,12.9,57.3,0.806,495679
2015,Shimane,694352,48,12.6,55,0.799,555771
2015,Okayama,1921525,48,13.1,58.2,0.812,511827
2015,Hiroshima,2843990,48.4,13.4,59.1,0.833,532495
2015,Yamaguchi,1404729,47.3,12.2,55.7,0.738,576383
2015,Tokushima,755733,47.6,11.7,57.4,0.739,519455
2015,Kagawa,976263,48.4,12.8,57.3,0.791,609696
2015,Ehime,1385262,47.2,12.4,57,0.732,490830
2015,Kochi,728276,47.1,11.6,55.5,0.694,515196
2015,Fukuoka,5101556,47.3,13.4,60.7,0.887,502703
2015,Saga,832832,47.2,14,58.3,0.848,555848
2015,Nagasaki,1377187,46.9,13,57.4,0.8,449222
2015,Kumamoto,1786170,47.1,13.6,57.6,0.872,490697
2015,Oita,1166338,47.3,12.7,56.9,0.781,535435
2015,Miyazaki,1104069,47,13.7,56.8,0.836,449069
2015,Kagoshima,1648177,46.9,13.5,57,0.857,545130
2015,Okinawa,1433566,49.2,17.4,62.9,1.182,427588
2014,Hokkaido,5410000,47.2,11.5,60.4,0.685,513404
2014,Aomori,1323000,47,11.7,59.3,0.669,437481
2014,Iwate,1290000,48.1,12.1,58.3,0.682,507358
2014,Miyagi,2335000,48.8,12.7,62.6,0.774,472914
2014,Akita,1037000,47,10.8,56.6,0.578,435674
2014,Yamagata,1134000,48.1,12.3,57.8,0.702,565582
2014,Fukushima,1927000,49.2,12.5,59.8,0.753,606705
2014,Ibaraki,2927000,49.8,12.9,61.3,0.747,574775
2014,Tochigi,1980000,49.7,13,61.9,0.78,652121
2014,Gunma,1979000,49.3,13,60.2,0.734,480498
2014,Saitama,7247000,50,12.8,63.2,0.769,578820
2014,Chiba,6209000,49.8,12.6,62.1,0.753,545947
2014,Tokyo,13399000,49.4,11.3,66.2,0.826,590686
2014,Kanagawa,9103000,50,12.8,64,0.802,513534
2014,Niigata,2320000,48.4,12.2,58.8,0.71,503147
2014,Toyama,1072000,48.2,12.4,57.9,0.705,639091
2014,Ishikawa,1157000,48.4,13.1,59.8,0.775,613534
2014,Fukui,791000,48.4,13.4,58.7,0.78,570140
2014,Yamanashi,841000,48.9,12.6,59.9,0.721,519626
2014,Nagano,2110000,48.7,13.2,57.7,0.751,548274
2014,Gifu,2043000,48.4,13.4,59.3,0.741,480261
2014,Shizuoka,3715000,49.2,13.2,59.9,0.772,560115
2014,Aichi,7464000,50,14,62.9,0.874,510944
2014,Mie,1826000,48.6,13.2,59.7,0.752,413004
2014,Shiga,1414000,49.4,14.6,61.9,0.9,537989
2014,Kyoto,2616000,47.9,12.4,60.8,0.749,569996
2014,Osaka,8845000,48.2,12.7,61.6,0.791,490339
2014,Hyogo,5550000,47.8,13.2,60.4,0.799,411856
2014,Nara,1373000,47.2,12.6,59.6,0.701,579121
2014,Wakayama,972000,47,12.3,57.3,0.735,565221
2014,Tottori,577000,47.7,13,57.9,0.785,444249
2014,Shimane,699000,47.9,12.7,55.6,0.767,595574
2014,Okayama,1926000,48,13.3,58.7,0.822,487059
2014,Hiroshima,2846000,48.4,13.3,59.5,0.835,545379
2014,Yamaguchi,1415000,47.3,12.4,56.3,0.721,531589
2014,Tokushima,763000,47.6,11.9,57.9,0.721,563580
2014,Kagawa,980000,48.4,13,57.8,0.79,541853
2014,Ehime,1396000,47.2,12.6,57.6,0.745,426646
2014,Kochi,736000,47,11.7,56.2,0.681,559069
2014,Fukuoka,5099000,47.2,13.5,61.4,0.887,485648
2014,Saga,837000,47.2,14.2,58.8,0.855,538073
2014,Nagasaki,1387000,46.8,13.2,57.9,0.816,435732
2014,Kumamoto,1795000,47.1,13.6,58.3,0.867,466829
2014,Oita,1173000,47.3,12.8,57.6,0.791,536674
2014,Miyazaki,1112000,47,13.8,57.6,0.855,402848
2014,Kagoshima,1662000,46.8,13.6,57.8,0.857,536460
2014,Okinawa,1426000,49.1,17.5,63.5,1.148,395756
2013,Hokkaido,5438000,47.2,11.6,61.4,0.702,500893
2013,Aomori,1337000,47,11.9,60.2,0.683,469162
2013,Iwate,1299000,48,12.3,59,0.711,487293
2013,Miyagi,2333000,48.8,12.9,63.4,0.812,481676
2013,Akita,1050000,47,10.9,57.5,0.588,447554
2013,Yamagata,1144000,48,12.4,58.5,0.713,606299
2013,Fukushima,1940000,49,12.6,60.4,0.75,577166
2013,Ibaraki,2937000,49.9,13,62.1,0.761,597665
2013,Tochigi,1986000,49.7,13.1,62.7,0.785,580197
2013,Gunma,1986000,49.2,13.2,61,0.742,406585
2013,Saitama,7228000,50,12.9,64.1,0.795,597192
2013,Chiba,6201000,49.8,12.7,63,0.78,491030
2013,Tokyo,13307000,49.4,11.3,66.8,0.827,577752
2013,Kanagawa,9084000,50,12.9,64.7,0.818,540110
2013,Niigata,2336000,48.4,12.3,59.6,0.731,533204
2013,Toyama,1077000,48.3,12.6,58.7,0.717,599995
2013,Ishikawa,1160000,48.4,13.3,60.7,0.815,586024
2013,Fukui,796000,48.4,13.6,59.5,0.812,568887
2013,Yamanashi,847000,48.9,12.7,60.7,0.732,478411
2013,Nagano,2122000,48.7,13.3,58.4,0.769,508995
2013,Gifu,2053000,48.4,13.6,60.1,0.779,550325
2013,Shizuoka,3730000,49.2,13.3,60.7,0.811,577634
2013,Aichi,7449000,50,14.1,63.6,0.897,598998
2013,Mie,1833000,48.7,13.4,60.4,0.792,504155
2013,Shiga,1415000,49.4,14.8,62.7,0.92,434599
2013,Kyoto,2622000,47.9,12.5,61.7,0.767,573159
2013,Osaka,8856000,48.2,12.9,62.5,0.814,514981
2013,Hyogo,5565000,47.8,13.3,61.3,0.821,425094
2013,Nara,1381000,47.3,12.7,60.6,0.738,595346
2013,Wakayama,980000,47,12.4,58.2,0.727,491807
2013,Tottori,580000,47.8,13.1,58.7,0.821,487043
2013,Shimane,704000,47.9,12.7,56.4,0.786,569376
2013,Okayama,1932000,48,13.4,59.5,0.839,503994
2013,Hiroshima,2850000,48.3,13.4,60.4,0.867,511394
2013,Yamaguchi,1425000,47.2,12.5,57.3,0.751,537348
2013,Tokushima,769000,47.6,12,58.8,0.737,567762
2013,Kagawa,985000,48.2,13.1,58.8,0.818,626509
2013,Ehime,1406000,47.2,12.7,58.6,0.761,454809
2013,Kochi,743000,47,11.8,57.1,0.709,553637
2013,Fukuoka,5096000,47.2,13.5,62.4,0.901,495617
2013,Saga,841000,47.2,14.3,59.6,0.865,531197
2013,Nagasaki,1397000,46.7,13.3,58.8,0.828,477193
2013,Kumamoto,1801000,47,13.6,59.1,0.886,474549
2013,Oita,1180000,47.3,12.9,58.5,0.814,555437
2013,Miyazaki,1119000,47,13.8,58.6,0.881,454391
2013,Kagoshima,1675000,46.8,13.6,58.6,0.874,572224
2013,Okinawa,1419000,49.1,17.6,64,1.213,420654
2012,Hokkaido,5465000,47.2,11.7,62.2,0.708,516705
2012,Aomori,1350000,47,12.1,60.9,0.679,464287
2012,Iwate,1306000,47.9,12.4,59.6,0.71,487586
2012,Miyagi,2329000,48.7,13,64.1,0.803,495291
2012,Akita,1063000,46.9,11.1,58.2,0.616,475335
2012,Yamagata,1153000,48.1,12.6,59.1,0.712,540570
2012,Fukushima,1957000,48.9,12.9,61.1,0.704,608083
2012,Ibaraki,2947000,49.9,13.2,63,0.777,643050
2012,Tochigi,1992000,49.7,13.2,63.6,0.802,572105
2012,Gunma,1994000,49.3,13.4,61.7,0.748,422933
2012,Saitama,7216000,50.1,13,65,0.789,619993
2012,Chiba,6200000,49.8,12.8,64,0.788,464161
2012,Tokyo,13234000,49.4,11.3,67.5,0.812,574844
2012,Kanagawa,9070000,50.1,13,65.5,0.832,546900
2012,Niigata,2350000,48.4,12.5,60.3,0.744,498458
2012,Toyama,1083000,48.3,12.7,59.7,0.728,612354
2012,Ishikawa,1164000,48.3,13.4,61.6,0.82,582931
2012,Fukui,800000,48.4,13.7,60.3,0.839,520011
2012,Yamanashi,852000,48.9,12.9,61.4,0.744,462495
2012,Nagano,2132000,48.6,13.5,59.1,0.781,518431
2012,Gifu,2062000,48.4,13.7,61,0.8,565480
2012,Shizuoka,3739000,49.2,13.4,61.6,0.824,584628
2012,Aichi,7431000,50,14.2,64.4,0.914,474852
2012,Mie,1841000,48.7,13.5,61.3,0.8,487119
2012,Shiga,1414000,49.4,14.8,63.5,0.936,423863
2012,Kyoto,2628000,48,12.6,62.7,0.765,520430
2012,Osaka,8861000,48.3,13,63.3,0.824,489020
2012,Hyogo,5575000,47.8,13.5,62.2,0.833,442844
2012,Nara,1388000,47.3,12.9,61.6,0.761,517049
2012,Wakayama,988000,47.1,12.5,59,0.751,511260
2012,Tottori,583000,47.7,13.2,59.6,0.818,470402
2012,Shimane,708000,47.9,12.7,57.3,0.789,510424
2012,Okayama,1937000,48,13.5,60.3,0.84,471802
2012,Hiroshima,2855000,48.3,13.5,61.3,0.87,558798
2012,Yamaguchi,1434000,47.2,12.6,58.2,0.753,497652
2012,Tokushima,775000,47.5,12.2,59.8,0.741,563339
2012,Kagawa,989000,48.2,13.2,59.7,0.825,572236
2012,Ehime,1415000,47.1,12.8,59.4,0.787,475382
2012,Kochi,751000,46.9,11.9,58,0.701,585742
2012,Fukuoka,5089000,47.2,13.5,63.2,0.9,481335
2012,Saga,845000,47.1,14.4,60.3,0.88,515473
2012,Nagasaki,1408000,46.7,13.4,59.6,0.833,403123
2012,Kumamoto,1807000,47,13.7,59.8,0.885,475301
2012,Oita,1186000,47.3,12.9,59.5,0.814,587012
2012,Miyazaki,1125000,47,13.8,59.5,0.876,397078
2012,Kagoshima,1687000,46.8,13.6,59.3,0.88,535605
2012,Okinawa,1411000,49.1,17.6,64.6,1.21,428667
2011,Hokkaido,5488000,47.3,11.8,63,0.716,479141
2011,Aomori,1363000,47,12.3,61.6,0.699,452060
2011,Iwate,1315000,47.8,12.6,60.2,0.708,503313
2011,Miyagi,2326000,48.6,13,64.6,0.777,362201
2011,Akita,1075000,47,11.3,59,0.619,459017
2011,Yamagata,1162000,48,12.7,59.7,0.736,526653
2011,Fukushima,1988000,48.7,13.2,61.6,0.758,564953
2011,Ibaraki,2960000,49.8,13.3,63.8,0.784,542854
2011,Tochigi,2000000,49.7,13.3,64.3,0.796,623772
2011,Gunma,2001000,49.2,13.6,62.5,0.781,440850
2011,Saitama,7209000,50.1,13.2,65.9,0.805,629665
2011,Chiba,6217000,49.8,12.9,65.1,0.81,466255
2011,Tokyo,13198000,49.4,11.3,68.1,0.803,560349
2011,Kanagawa,9060000,50.2,13.1,66.3,0.839,563699
2011,Niigata,2364000,48.4,12.6,61,0.747,481070
2011,Toyama,1088000,48.3,12.9,60.8,0.719,579358
2011,Ishikawa,1167000,48.3,13.5,62.6,0.819,551580
2011,Fukui,803000,48.4,13.8,61,0.838,578879
2011,Yamanashi,857000,49,13.1,62,0.748,468100
2011,Nagano,2142000,48.7,13.6,59.7,0.79,553685
2011,Gifu,2071000,48.4,13.8,61.8,0.814,481339
2011,Shizuoka,3752000,49.2,13.5,62.4,0.831,552373
2011,Aichi,7418000,50,14.3,65,0.93,466299
2011,Mie,1847000,48.7,13.6,62,0.816,499580
2011,Shiga,1413000,49.4,14.9,64.2,0.944,402413
2011,Kyoto,2633000,48,12.7,63.6,0.786,535469
2011,Osaka,8863000,48.3,13.1,64.2,0.834,452149
2011,Hyogo,5584000,47.8,13.6,63.1,0.848,463210
2011,Nara,1395000,47.3,13,62.6,0.746,536916
2011,Wakayama,995000,47,12.7,59.8,0.75,529792
2011,Tottori,586000,47.8,13.2,60.3,0.841,477280
2011,Shimane,713000,47.8,12.8,58.1,0.783,501228
2011,Okayama,1941000,48,13.6,61,0.857,474962
2011,Hiroshima,2858000,48.3,13.5,62.2,0.891,557100
2011,Yamaguchi,1444000,47.2,12.6,59.1,0.777,535189
2011,Tokushima,780000,47.4,12.2,60.6,0.758,522644
2011,Kagawa,992000,48.2,13.2,60.7,0.838,591586
2011,Ehime,1424000,47.1,12.9,60.2,0.796,459001
2011,Kochi,758000,47,12,58.9,0.692,573863
2011,Fukuoka,5081000,47.2,13.5,63.9,0.91,507715
2011,Saga,847000,47.1,14.5,60.9,0.899,516843
2011,Nagasaki,1418000,46.7,13.5,60.3,0.827,408140
2011,Kumamoto,1813000,47,13.7,60.5,0.889,417544
2011,Oita,1192000,47.2,13,60.2,0.838,558562
2011,Miyazaki,1130000,47,13.9,60.2,0.898,456842
2011,Kagoshima,1697000,46.7,13.7,59.8,0.898,560920
2011,Okinawa,1402000,49.1,17.7,65.1,1.207,378159
2010,Hokkaido,5506419,47.3,12,63.3,0.729,517994
2010,Aomori,1373339,47.1,12.6,61.7,0.707,476667
2010,Iwate,1330147,47.7,12.7,60.1,0.733,488759
2010,Miyagi,2348165,48.5,13.2,64.4,0.815,446918
2010,Akita,1085997,47,11.4,59,0.616,469960
2010,Yamagata,1168924,48,12.8,59.6,0.74,561092
2010,Fukushima,2029064,48.5,13.7,61.3,0.795,536706
2010,Ibaraki,2969770,49.8,13.5,64,0.808,604247
2010,Tochigi,2007683,49.7,13.6,64.4,0.82,605674
2010,Gunma,2008068,49.2,13.8,62.7,0.798,456515
2010,Saitama,7194556,50.2,13.3,66.3,0.826,584459
2010,Chiba,6216289,49.8,13,65.4,0.831,496259
2010,Tokyo,13159388,49.5,11.4,68.2,0.822,627326
2010,Kanagawa,9048331,50.2,13.2,66.6,0.863,553717
2010,Niigata,2374450,48.4,12.8,61,0.762,530616
2010,Toyama,1093247,48.2,13,60.8,0.749,615372
2010,Ishikawa,1169788,48.3,13.7,62.6,0.821,586373
2010,Fukui,806314,48.3,14,60.8,0.853,634573
2010,Yamanashi,863075,49,13.4,61.9,0.771,523033
2010,Nagano,2152449,48.6,13.8,59.7,0.801,508980
2010,Gifu,2080773,48.4,14,61.9,0.812,526970
2010,Shizuoka,3765007,49.2,13.7,62.5,0.847,543916
2010,Aichi,7410719,50,14.5,65.2,0.943,514182
2010,Mie,1854724,48.7,13.7,62,0.823,472608
2010,Shiga,1410777,49.4,15.1,64.2,0.947,465456
2010,Kyoto,2636092,48,12.9,63.8,0.806,517740
2010,Osaka,8865245,48.3,13.3,64.4,0.847,450491
2010,Hyogo,5588133,47.8,13.7,63.3,0.856,482464
2010,Nara,1400728,47.4,13.2,62.8,0.763,527737
